Disease_pair,Disease_A,Disease_B,RR,Comorbidity_RR=0,Comorbidity_RR=1
dyssomnias & sleep_disorders,dyssomnias,sleep_disorders,8861.622359,1,1
charcot_marie_tooth_disease & hereditary_sensory_and_motor_neuropathy,charcot_marie_tooth_disease,hereditary_sensory_and_motor_neuropathy,6496.751624,1,1
hair_diseases & hypotrichosis,hair_diseases,hypotrichosis,3858.711784,1,1
arthritis_rheumatoid & lung_diseases_obstructive,arthritis_rheumatoid,lung_diseases_obstructive,3604.926182,1,1
head_and_neck_neoplasms & neoplasms,head_and_neck_neoplasms,neoplasms,3102.625298,1,1
colitis_ulcerative & stomatognathic_diseases,colitis_ulcerative,stomatognathic_diseases,1709.13855,1,1
leukemia & stomatognathic_diseases,leukemia,stomatognathic_diseases,1709.13855,1,1
cerebellar_ataxia & spinocerebellar_degenerations,cerebellar_ataxia,spinocerebellar_degenerations,1290.353093,1,1
cerebellar_ataxia & spinocerebellar_ataxias,cerebellar_ataxia,spinocerebellar_ataxias,1286.491836,1,1
spinocerebellar_ataxias & spinocerebellar_degenerations,spinocerebellar_ataxias,spinocerebellar_degenerations,1286.491836,1,1
spastic_paraplegia_hereditary & spinocerebellar_ataxias,spastic_paraplegia_hereditary,spinocerebellar_ataxias,1286.491836,1,1
amino_acid_metabolism_inborn_errors & metabolism_inborn_errors,amino_acid_metabolism_inborn_errors,metabolism_inborn_errors,1282.304202,1,1
amino_acid_metabolism_inborn_errors & autoimmune_diseases,amino_acid_metabolism_inborn_errors,autoimmune_diseases,1282.304202,1,1
amino_acid_metabolism_inborn_errors & immunologic_deficiency_syndromes,amino_acid_metabolism_inborn_errors,immunologic_deficiency_syndromes,1282.304202,1,1
amyotrophic_lateral_sclerosis & motor_neuron_disease,amyotrophic_lateral_sclerosis,motor_neuron_disease,1247.481048,1,1
myocardial_infarction & neoplasms_connective_and_soft_tissue,myocardial_infarction,neoplasms_connective_and_soft_tissue,1189.148928,1,1
uveal_diseases & uveitis,uveal_diseases,uveitis,1177.96303,1,1
albuminuria & proteinuria,albuminuria,proteinuria,1103.097157,1,1
demyelinating_diseases & multiple_sclerosis,demyelinating_diseases,multiple_sclerosis,796.324655,1,1
albuminuria & glioma,albuminuria,glioma,753.178027,1,1
glioma & proteinuria,glioma,proteinuria,753.178027,1,1
endocrine_system_diseases & thyroid_diseases,endocrine_system_diseases,thyroid_diseases,674.553757,1,1
endocrine_system_diseases & goiter,endocrine_system_diseases,goiter,674.553757,1,1
goiter & thyroid_diseases,goiter,thyroid_diseases,674.553757,1,1
celiac_disease & malabsorption_syndromes,celiac_disease,malabsorption_syndromes,647.991227,1,1
celiac_disease & hair_diseases,celiac_disease,hair_diseases,464.319422,1,1
neoplasms_germ_cell_and_embryonal & ovarian_neoplasms,neoplasms_germ_cell_and_embryonal,ovarian_neoplasms,429.014586,1,1
malformations_of_cortical_development & spinocerebellar_degenerations,malformations_of_cortical_development,spinocerebellar_degenerations,316.918576,1,1
leukemia_b_cell & leukemia_lymphocytic_chronic_b_cell,leukemia_b_cell,leukemia_lymphocytic_chronic_b_cell,298.974288,1,1
leukemia_b_cell & precursor_cell_lymphoblastic_leukemia_lymphoma,leukemia_b_cell,precursor_cell_lymphoblastic_leukemia_lymphoma,298.974288,1,1
graves_disease & hyperthyroidism,graves_disease,hyperthyroidism,255.107047,1,1
asthma & lymphoma,asthma,lymphoma,239.011218,1,1
leukemia & precursor_cell_lymphoblastic_leukemia_lymphoma,leukemia,precursor_cell_lymphoblastic_leukemia_lymphoma,218.437525,1,1
leukemia_myeloid_acute & stomatognathic_diseases,leukemia_myeloid_acute,stomatognathic_diseases,218.278456,1,1
cranial_nerve_diseases & movement_disorders,cranial_nerve_diseases,movement_disorders,213.722861,1,1
hereditary_sensory_and_motor_neuropathy & peripheral_nervous_system_diseases,hereditary_sensory_and_motor_neuropathy,peripheral_nervous_system_diseases,209.572633,1,1
charcot_marie_tooth_disease & peripheral_nervous_system_diseases,charcot_marie_tooth_disease,peripheral_nervous_system_diseases,209.572633,1,1
dwarfism & leprosy,dwarfism,leprosy,174.085382,1,1
spastic_paraplegia_hereditary & spinocerebellar_degenerations,spastic_paraplegia_hereditary,spinocerebellar_degenerations,169.345804,1,1
leukemia & leukemia_myeloid_acute,leukemia,leukemia_myeloid_acute,167.845846,1,1
charcot_marie_tooth_disease & muscular_dystrophies,charcot_marie_tooth_disease,muscular_dystrophies,167.205729,1,1
